product name,fat,carbohydrates,proteins,calories,sugars,fiber
"ABALONE,MIXED SPECIES,RAW",0.76,6.01,17.1,105,0.0,0.0
"ABALONE,MXD SP,CKD,FRIED",6.78,11.05,19.63,189,0.0,0.0
"ABIYUCH,RAW",0.1,17.6,1.5,69,8.550000191,5.300000191
"ACEROLA JUICE,RAW",0.3,4.8,0.4,23,4.5,0.300000012
"ACEROLA,(WEST INDIAN CHERRY),RAW",0.3,7.69,0.4,32,0.0,1.100000024
"ACORN FLOUR,FULL FAT",30.17,54.65,7.49,501,0.0,0.0
ACORN STEW (APACHE),3.47,9.22,6.81,95,0.340000004,0.699999988
"ACORNS,DRIED",31.41,53.66,8.1,509,0.0,0.0
"ACORNS,RAW",23.86,40.75,6.15,387,0.0,0.0
ADOBO FRESCO,20.9,18.6,2.0,271,2.029999971,1.299999952
"AGAVE,CKD (SOUTHWEST)",0.29,32.0,0.99,135,20.87000084,10.60000038
"AGAVE,DRIED (SOUTHWEST)",0.69,81.98,1.71,341,50.70000076,15.60000038
"AGAVE,RAW (SOUTHWEST)",0.15,16.23,0.52,68,2.579999924,6.599999905
"AGUTUK,FISH W/ SHORTENING (ALASKA NATIVE)",43.5,10.5,9.0,470,0.0,0.0
"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",31.8,13.4,3.4,353,0.0,0.5
"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",18.6,0.9,21.7,258,0.0,0.0
"ALCOHOLIC BEV,BEER,LT",0.0,1.64,0.24,29,0.090000004,0.0
"ALCOHOLIC BEV,BEER,LT,BUD LT",0.0,1.86,0.25,31,0.0,0.0
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",0.0,0.87,0.2,28,0.0,0.0
"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",0.0,0.73,0.17,27,0.0,0.0
"ALCOHOLIC BEV,BEER,REG,ALL",0.0,3.55,0.46,43,0.0,0.0
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",0.0,2.97,0.36,41,0.0,0.0
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",0.3,41.6,0.0,371,41.59999847,0.0
"ALCOHOLIC BEV,DAIQUIRI,CND",0.0,15.7,0.0,125,0.0,0.0
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",0.06,6.94,0.06,186,5.579999924,0.100000001
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",0.0,0.0,0.0,231,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",0.0,0.1,0.0,250,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",0.0,0.0,0.0,263,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",0.0,0.0,0.0,275,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",0.0,0.0,0.0,295,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",0.0,0.0,0.0,263,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",0.0,0.0,0.0,231,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",0.0,0.0,0.0,231,0.0,0.0
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",0.0,0.1,0.0,250,0.100000001,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",15.7,20.9,2.8,327,19.76000023,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",0.3,46.8,0.1,326,46.43000031,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",0.3,32.2,0.1,308,32.20000076,0.0
"ALCOHOLIC BEV,PINA COLADA,CND",7.6,27.6,0.6,237,0.0,0.100000001
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",1.88,22.66,0.42,174,22.32999992,0.300000012
"ALCOHOLIC BEV,RICE (SAKE)",0.0,5.0,0.5,134,0.0,0.0
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",0.1,11.3,0.3,110,0.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,CND",0.0,13.4,0.0,119,0.0,0.100000001
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",0.06,12.82,0.06,153,12.77999973,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",0.0,13.1,0.0,149,0.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",0.02,15.85,0.1,164,15.81000042,0.0
"ALCOHOLIC BEV,WINE,COOKING",0.0,6.3,0.5,50,1.549999952,0.0
"ALCOHOLIC BEV,WINE,DSSRT,DRY",0.0,11.67,0.2,152,1.090000033,0.0
"ALCOHOLIC BEV,WINE,DSSRT,SWT",0.0,13.69,0.2,160,7.78000021,0.0
"ALCOHOLIC BEV,WINE,LT",0.0,1.17,0.07,49,1.149999976,0.0
"ALCOHOLIC BEV,WINE,TABLE,ALL",0.0,2.72,0.07,83,0.790000021,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED",0.0,2.61,0.07,85,0.620000005,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",0.0,2.79,0.07,85,0.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",0.0,3.69,0.07,86,0.0,0.0
